src,in_src,out_src,dst,in_dst,out_dst,depth,bound,reachable,runtime
7435120,10,165,27509038,8,215,4,4,False,653
48206712,3,442,39688,164,173,2,2,False,11
11142318,38,104,1718828,202,138,1,1,False,5
3001157,104,160,3080988,6,118,3,3,False,35
33424909,15,93,12729700,143,92,3,3,False,419
39983572,0,599,153201,107,85,1,1,False,7
621989,47,308,470580,121,118,2,2,False,10
3003379,53,78,522788,5,100,4,4,False,86
36304591,30,105,57659615,9,99,4,4,False,351
18598186,1851,385,1778270,112,192,3,3,False,447
10832089,32,87,546406,203,225,1,1,False,5
131145,46,89,129931,283,120,4,4,True,1503
25739021,3,137,5285635,372,136,4,4,True,1902
7426639,4,106,30138316,52,360,4,4,True,675
6984509,15,85,46799553,39,87,3,3,False,156
1233201,307,198,14812156,8,116,1,1,False,5
571303,53,81,30875121,206,191,4,4,True,1180
26096082,191,606,39298148,81,102,3,3,False,389
7235622,178,128,42660351,2,103,2,2,False,8
322849,298,188,34356032,28,153,2,2,False,9
32436769,50,156,35888813,11,243,2,2,False,8
305992,419,171,10682698,13,84,1,1,False,4
28419876,9,82,13870114,83,120,4,4,True,677
46995803,50,172,33775721,58,147,3,3,False,255
4959891,37,152,2637109,218,96,1,1,False,4
915315,115,129,3228875,16,106,1,1,False,5
116845,255,89,20110162,46,105,1,1,False,4
12283681,32,106,51864400,25,99,3,3,False,137
422990,128,81,5053838,143,169,4,4,True,960
3602716,25,421,563064,469,167,4,4,True,3402
15716416,8,99,12143420,79,99,3,3,False,324
24122202,5,88,64844399,8,81,1,1,False,5
406134,203,114,58552106,3,80,4,4,False,152
5676344,102,208,673158,90,92,2,2,False,9
125827,119,112,40513452,27,146,1,1,False,4
10325000,32,82,22786121,6,107,1,1,False,5
1565909,105,112,26114575,9,99,1,1,False,5
2316340,129,97,33687378,449,376,1,1,False,4
351930,147,127,13138963,11,88,2,2,False,8
178601,84,119,2987552,265,100,3,3,False,498
3460832,66,95,51201429,1,194,1,1,False,5
31322525,402,215,4216049,128,79,4,4,True,1450
65713314,13,179,157304,545,248,2,2,False,11
65194297,1,157,16735553,137,135,1,1,False,4
4066288,78,111,622195,44,105,2,2,False,8
1347905,315,180,43195566,70,100,2,2,False,8
1226710,87,101,4733351,46,206,4,4,True,670
328990,132,120,79345,5,112,4,4,False,45
154242,60,83,1608886,31,133,4,4,True,431
429681,75,86,32700564,12,354,3,3,False,53
399970,421,150,61313621,35,79,3,3,False,146
10601843,102,1069,13664906,140,177,1,1,False,9
5131433,46,107,4371875,31,168,2,2,False,8
38639546,10,127,18431120,27,83,3,3,True,145
62705,249,221,261708,337,107,3,3,True,959
45251237,241,129,14078795,88,91,4,4,True,950
65422331,3,79,641662,128,159,4,4,True,991
472425,30,82,19308446,1,123,4,4,False,15
125290,19,121,2475190,32,112,4,4,True,727
26572,212,84,14600170,58,389,4,4,False,588
1196960,183,178,1242649,593,165,2,3,True,11
40112923,76,116,212685,317,268,4,4,True,1857
10016104,80,110,31392307,95,647,1,1,False,4
66256,139,123,178632,81,106,1,1,False,5
876353,43,98,27328270,15,88,3,3,False,70
52202939,8,107,2235074,14,77,2,2,False,8
63776272,11,205,12852787,49,103,3,3,False,208
19946753,294,228,7162172,259,113,1,1,False,5
95957,143,104,33608429,61,175,3,3,False,268
6229576,34,81,45436990,39,101,3,3,False,171
1088108,777,103,27990,457,775,3,3,True,469
24212636,193,88,3591486,57,144,2,2,False,8
215642,920,279,312122,213,143,2,2,False,10
14240688,99,115,23933928,13,93,4,4,False,568
42034270,28,99,25793125,299,128,2,2,False,10
5068093,69,81,27385662,30,126,1,1,False,4
2081336,182,171,1358129,47,128,3,4,True,207
4074020,26,206,28051320,13,3033,4,4,True,738
194380,218,147,25739013,261,173,3,4,True,695
46426063,0,79,7709676,13,88,1,1,False,4
1809016,152,89,871841,99,143,3,4,True,420
7851960,20,87,7502268,119,182,4,4,True,820
12883771,14,80,7523623,27,78,4,4,True,482
174172,180,99,206721,105,130,4,4,True,890
10761045,56,97,385292,6,86,4,4,False,390
647241,1112,132,40379106,103,108,1,1,False,5
41592056,112,144,3174426,62,102,3,3,True,269
66506294,4,96,12697864,209,3845,2,2,False,8
1106588,6,83,30863692,15,78,4,4,False,418
23252945,40,80,242649,401,155,3,4,True,319
40808585,12,277,22102732,4,122,4,4,False,372
42707807,79,82,45580618,0,163,3,3,False,8
50843287,2,546,11655692,91,81,4,4,True,2937
33564393,78,117,11931761,214,386,3,4,True,504
26611936,77,138,11197908,29,84,1,1,False,5
24696278,16,80,82575,78,88,3,3,False,355
