src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
765191,78,149,2068545,26,103,1,5,0.87
354995,138,131,24978363,1,83,3,10,0.96
66875019,10,98,238418,144,183,1,4,0.58
45280002,30,278,43806870,0,121,3,8,0.33
3420326,32,200,982072,96,157,1,4,0.89
1196618,57,196,39859952,34,211,2,8,1.25
34296866,3,137,68540793,4,454,1,4,1.67
8429335,72,95,53150575,8,125,4,372,1.03
5441497,80,88,25075611,19,445,1,4,1.4
500163,44,179,33075363,63,115,4,989,1.81
1955693,354,84,354439,512,176,1,4,0.44
18487880,46,86,189897,158,116,3,337,2.04
29248056,44,114,55839628,0,152,3,7,0.63
10001064,13,107,50014,373,196,4,2111,1.02
167181,19,95,38012343,3,150,2,8,0.77
57953,125,112,33125,1743,137,4,8040,0.86
679449,1011,85,66380518,2,204,1,5,2.72
59556,193,413,4921220,59,97,2,11,0.38
858928,100,118,63910887,35,101,2,8,0.99
12029374,17,84,50429285,93,117,1,4,4.46
209218,315,376,5379980,41,111,2,9,0.43
4426443,56,137,4668970,82,119,3,374,1.41
25891928,105,131,23270472,23,244,2,9,3.07
65861838,2,121,3345949,59,139,2,8,1.74
954324,412,128,5648156,12,93,1,5,1.27
5381254,20,99,26538148,68,99,2,9,0.53
49924135,75,90,1917463,274,83,4,1476,0.45
271046,177,140,40425325,2,295,1,5,0.18
3027994,55,108,62817790,0,79,4,10,0.91
31443761,45,104,16801928,0,191,1,5,0.56
539758,115,102,50853973,58,301,2,10,2.19
84138,56,145,43405357,177,336,2,10,0.73
65799104,43,101,35526846,19,97,4,583,1.09
3418396,56,86,1816487,35,77,3,185,0.16
12751349,30,77,16278408,9,309,4,458,1.49
6065438,161,126,8696765,44,97,1,5,1.33
2004373,13,86,1107715,81,92,1,5,0.51
448761,94,104,34417226,8,294,3,52,2.45
36546867,100,94,9736615,42,113,4,529,2.54
48844684,1,128,27682729,56,85,4,898,3.42
38559799,14,80,217677,332,198,1,5,1.4
1425199,36,80,3871068,81,82,2,8,0.4
42164692,15,103,237339,434,148,3,480,0.03
1248758,72,127,65921601,26,114,4,754,2.1
168724,80,108,2953331,20,81,4,604,0.99
15069120,20,183,61233925,2,144,2,8,1.95
128394,162,107,966144,23,294,4,581,0.42
33624813,337,179,67514848,42,129,4,1054,2.49
50169083,1,175,36643419,53,114,1,6,1.65
8990123,1,94,1510996,253,220,2,11,0.97
5577,21,236,3814556,34,100,2,11,0.43
6245624,4,181,4001321,443,183,4,2388,0.85
413358,100,117,818545,42,115,3,240,0.29
27500520,5,85,1500150,73,88,4,473,1.01
22356659,69,111,34472358,2,117,1,5,1.18
52273915,6,127,11599467,17,84,2,9,1.68
255054,186,92,958851,142,167,1,4,2.28
689835,145,88,211447,207,168,1,5,1.22
4402774,9,161,981707,93,86,2,9,2.23
10748625,53,108,519237,553,164,3,531,2.47
9105516,17,87,136025,68,139,1,5,0.33
11166946,38,130,63840346,1,259,3,13,1.22
68288468,3,96,30046058,87,83,1,5,0.74
1951282,77,80,3666160,29,81,3,145,2.27
12284476,2,118,290417,63,80,4,928,0.11
45032255,11,80,11407963,11,449,4,456,0.13
16655587,70,213,428977,81,89,4,1289,0.36
28867419,29,197,53708835,25,158,4,1048,1.22
772514,8,85,28445,362,110,2,11,1.14
62578860,0,122,1571138,37,139,3,178,1.06
66205739,4,197,13001055,21,163,2,10,3.14
